well_id|county|spud_date|completion_date
11962|County 1|2017-10-21|2019-08-26
11963|County 1|2018-09-03|2019-05-03
11964|County 8|2021-11-15|2022-08-24
11965|County 6|2019-09-15|2021-01-18
11966|County 1|2017-05-17|2017-11-30
11967|County 1|2018-07-03|2019-06-30
11968|County 1|2010-10-25|2011-03-02
11969|County 1|2020-02-11|2020-10-26
11970|County 6|2021-06-25|2022-09-10
11971|County 9|2015-04-18|2017-01-01
11972|County 9|2013-05-25|2013-09-12
11973|County 8|2011-01-16|2011-04-09
11974|County 9|2009-09-12|2009-10-13
11975|County 1|2013-06-06|2013-11-24
11976|County 1|2018-04-03|2018-10-07
11977|County 1|2014-10-02|2015-07-08
11978|County 1|2008-09-17|2008-12-07
11979|County 9|2012-03-10|2012-09-22
11980|County 8|2019-11-24|2020-04-04
11981|County 9|2013-10-24|2014-04-16
11982|County 8|2018-11-18|2022-07-17
11983|County 9|2013-11-07|2014-06-22
11984|County 8|2012-02-12|2012-06-07
11985|County 3|2014-06-24|2014-11-26
11986|County 5|2012-05-17|2012-07-27
11987|County 6|2013-12-11|2014-03-25
11988|County 9|2009-04-18|2009-06-12
11989|County 8|2017-03-02|2017-06-23
11990|County 8|2022-01-13|2022-06-11
11991|County 1|2012-01-06|2012-06-09
11992|County 1|2011-06-13|2011-09-04
11993|County 8|2021-06-07|2021-09-15
11994|County 6|2014-05-29|2014-11-09
11995|County 8|2010-12-28|2011-04-03
11996|County 1|2013-05-02|2014-01-25
11997|County 1|2015-03-15|2015-11-07
11998|County 1|2014-11-09|2015-09-19
11999|County 1|2014-12-16|2015-05-31
12000|County 6|2021-10-11|2022-11-04
12001|County 9|2011-01-19|2011-06-20
12002|County 3|2011-04-11|2011-06-04
12003|County 6|2014-03-24|2015-08-25
12004|County 9|2014-05-16|2014-11-01
12005|County 7|2012-06-01|2012-10-02
12006|County 5|2013-06-19|2013-08-28
12007|County 8|2019-07-14|2020-01-01
12008|County 8|2016-09-03|2017-03-09
12009|County 6|2019-12-21|2020-06-29
12010|County 1|2016-03-13|2016-12-18
12011|County 8|2012-09-07|2012-11-05
12012|County 1|2016-07-05|2018-02-05
12013|County 1|2012-11-01|2013-05-17
12014|County 9|2013-01-15|2013-02-17
12015|County 1|2013-09-05|2014-02-26
12016|County 6|2011-02-02|2011-06-22
12017|County 9|2009-04-19|2009-08-08
12018|County 8|2013-11-13|2014-06-24
12019|County 1|2009-10-23|2009-12-22
12020|County 8|2012-03-18|2012-06-17
12021|County 1|2014-06-06|2015-01-11
12022|County 6|2018-11-21|2023-12-20
12023|County 8|2014-09-14|2015-07-16
12024|County 1|2014-08-17|2015-01-13
12025|County 9|2009-12-27|2010-02-26
12026|County 9|2018-11-29|2019-06-24
12027|County 1|2011-09-01|2011-11-26
12028|County 6|2017-06-01|2018-04-20
12029|County 1|2011-04-16|2011-08-24
12030|County 1|2014-11-04|2015-10-23
12031|County 9|2007-07-17|2007-09-30
12032|County 9|2014-08-29|2017-07-10
12033|County 6|2011-11-10|2012-05-12
12034|County 1|2011-03-17|2011-06-27
12035|County 1|2010-08-18|2010-12-17
12036|County 1|2014-04-26|2014-08-29
12037|County 6|2014-03-10|2014-12-20
12038|County 5|2013-11-24|2014-01-29
12039|County 9|2010-04-16|2010-07-08
12040|County 1|2014-05-20|2014-10-01
12041|County 6|2015-01-03|2015-06-29
12042|County 8|2012-11-25|2013-06-30
12043|County 8|2019-05-07|2019-09-04
12044|County 6|2014-04-16|2014-08-14
12045|County 9|2018-05-01|2019-07-31
12046|County 1|2017-03-13|2017-06-06
12047|County 8|2010-01-19|2010-06-01
12048|County 5|2012-08-17|2013-02-19
12049|County 1|2015-02-23|2015-07-01
12050|County 9|2017-02-10|2017-07-17
12051|County 8|2019-03-05|2019-08-02
12052|County 8|2019-10-22|2020-11-27
12053|County 1|2019-03-03|2019-10-18
12054|County 8|2017-08-21|2018-06-03
12055|County 9|2008-04-14|2008-06-09
12056|County 1|2013-04-26|2013-11-01
12057|County 8|2018-03-20|2019-05-13
12058|County 6|2011-04-28|2011-07-16
12059|County 9|2010-10-30|2011-06-13
12060|County 8|2014-03-21|2014-09-10
12061|County 9|2013-09-01|2013-12-06
12062|County 6|2012-10-01|2012-12-01
12063|County 1|2019-03-06|2019-06-12
12064|County 1|2011-10-06|2012-05-21
12065|County 1|2011-07-08|2011-09-14
12066|County 6|2017-08-17|2018-04-01
12067|County 1|2012-04-19|2012-07-10
12068|County 1|2016-08-27|2017-10-14
12069|County 6|2010-05-05|2010-09-10
12070|County 8|2014-06-05|2015-02-15
12071|County 8|2021-08-29|2023-05-17
12072|County 6|2015-03-26|2016-11-16
12073|County 9|2015-12-03|2017-08-27
12074|County 9|2014-11-07|2015-06-17
12075|County 8|2015-07-28|2015-11-21
12076|County 6|2022-09-15|2023-05-16
